num,name,dps
1,龙城,2410
1,飞星,2014
1,神虹,3015
1,朝弦,3378
1,妙法,2965
1,狐狸,2378
2,男刀,2154
2,飞星,1954
2,神虹,3847
2,朝弦,3592
2,司命,2867
3,斩风,4309
3,龙城,3619
3,飞星,3880
3,神虹,3573
3,朝弦,2444
3,妙法,4041
4,男刀,3663
4,咒隐,4177
4,神虹,4565
4,朝弦,4446
4,妙法,3078
4,狐狸,3086
5,斩风,3539
5,龙城,2680
5,男刀,3127
5,咒隐,4184
5,飞星,2985
5,朝弦,3509
5,司命,3655
6,龙城,3007
6,咒隐,2244
6,飞星,3553
6,神虹,3207
6,朝弦,4189
6,妙法,3871
6,司命,2530
6,狐狸,3476
7,咒隐,3456
7,飞星,4125
7,神虹,3673
7,朝弦,4915
7,司命,3706
7,狐狸,3552
8,龙城,2495
8,朝弦,3694
8,司命,3315
8,狐狸,3100
9,斩风,3013
9,龙城,2279
9,飞星,2235
9,朝弦,3693
9,妙法,3602
9,司命,2656
9,狐狸,3654
10,咒隐,2390
10,朝弦,3783
10,妙法,3902
10,狐狸,2795
11,龙城,3700
11,咒隐,4000
11,飞星,5285
11,神虹,4706
11,朝弦,5389
11,妙法,4949
11,狐狸,4139
12,狐狸,4241
12,神虹,4485
12,妙法,3798
12,咒隐,3550
12,朝弦,3484
13,神虹,4191
13,朝弦,3450
13,斩风,2661
13,咒隐,3014
13,男刀,2079
14,狐狸,4265
14,朝弦,3323
14,司命,2831
14,龙城,2689
14,神虹,2770
15,朝弦,3892
15,狐狸,3405
15,龙城,3520
15,妙法,2908
15,飞星,3340
16,朝弦,4319
16,妙法,3835
16,狐狸,3549
16,神虹,3416
16,咒隐,2925
17,朝弦,4064
17,妙法,3570
17,狐狸,3519
17,神虹,3304
