num,name,dps
1,斩风,8308
1,龙城,4306
1,咒隐,6213
1,飞星,6385
1,朝弦,7622
1,妙法,7209
1,司命,5468
1,狐狸,6368
2,男刀,5908
2,飞星,5856
2,神虹,8843
2,朝弦,8498
2,司命,7088
3,斩风,8805
3,龙城,6732
3,男刀,9916
3,神虹,6627
3,朝弦,9021
3,妙法,11000
3,狐狸,6395
4,斩风,8919
4,龙城,7324
4,飞星,7851
4,妙法,7853
5,斩风,8786
5,咒隐,6724
5,飞星,7214
5,神虹,5619
5,妙法,9484
5,狐狸,6779
6,男刀,7198
6,咒隐,7316
6,朝弦,9029
6,狐狸,7988
7,斩风,6690
7,神虹,6921
7,朝弦,8873
7,司命,7583
7,狐狸,6760
8,男刀,6804
8,咒隐,9775
8,飞星,9657
8,神虹,6851
8,朝弦,9088
8,妙法,7847
8,狐狸,7821
9,斩风,7633
9,龙城,5068
9,男刀,6600
9,咒隐,7422
9,飞星,4838
9,朝弦,8811
9,司命,9362
10,龙城,6164
10,咒隐,8439
10,神虹,6239
10,朝弦,8801
11,龙城,7841
11,飞星,11000
11,朝弦,10100
11,妙法,10000
11,狐狸,5400
12,咒隐,8206
12,神虹,7848
12,朝弦,9083
12,司命,8842
12,狐狸,7246
13,男刀,3424
13,神虹,6955
13,朝弦,11500
13,司命,9102
13,狐狸,7459
14,龙城,4824
14,咒隐,7868
14,飞星,8433
14,神虹,6951
14,朝弦,10100
14,妙法,8984
14,司命,7513
14,狐狸,6530
15,咒隐,5312
15,飞星,6639
15,朝弦,8363
15,狐狸,8883
16,龙城,5845
16,朝弦,8367
16,妙法,7726
16,司命,5877
16,狐狸,6768
17,斩风,7944
17,咒隐,7924
17,飞星,2552
17,朝弦,8645
17,妙法,9022
